created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Wed Nov 15 02:17:19 +0000 2023,1724612512656552174,☑️Handbook of Drugs in ICU ▫️Free: https://t.co/Jrg5lVsQ2n https://t.co/ty0SljuYBO,1,4,251,769,en,807139723,1724612512656552174,LeonardoSotoMu,https://twitter.com/LeonardoSotoMu/status/1724612512656552174,
Wed Nov 15 01:55:41 +0000 2023,1724607067854405826,"@cloudy_supreme @Zailey74 @yassnito @wooloosbitch Where do u live, narnia?",0,1,0,192,en,1351003199273136134,1724578452915794366,August_mu13,https://twitter.com/August_mu13/status/1724607067854405826,"cloudy_supreme, Zailey74, yassnito, wooloosbitch"
Wed Nov 15 01:46:22 +0000 2023,1724604722139615541,Patrick Surtain II https://t.co/1cOZ5Dn6d6,6,19,9,338,en,1284559507293691904,1724604722139615541,MUTality7,https://twitter.com/MUTality7/status/1724604722139615541,
Wed Nov 15 01:44:26 +0000 2023,1724604239496761564,Joey Porter LTD https://t.co/DxFoSKT8FI,1,17,13,210,en,1284559507293691904,1724604239496761564,MUTality7,https://twitter.com/MUTality7/status/1724604239496761564,
Wed Nov 15 01:41:12 +0000 2023,1724603423511679372,Amon-Ra St Brown  +1 OVR 2+ Pass TDs +1 OVR 80+ Rec Yards https://t.co/9mvK1zFAKu,2,12,8,331,en,1284559507293691904,1724603423511679372,MUTality7,https://twitter.com/MUTality7/status/1724603423511679372,
Wed Nov 15 01:19:00 +0000 2023,1724597835994140924,"#Mizzou HC Eli Drinkwitz asked Cody Schrader to go back in the game vs. UT to get 20 yards for the MU scrimmage record.  Cody more or less said, this team doesn’t do individual awards.   Then, Drink playfully said he wish he did because “we’re trying to run up the score.”",7,9,48,685,en,2402358133,1724597835994140924,jarodchamilton,https://twitter.com/jarodchamilton/status/1724597835994140924,
Wed Nov 15 01:12:13 +0000 2023,1724596128044261490,Bad Girl Madonna 🚬 https://t.co/L0DMK8YivL,4,0,28,304,en,1538678063164186624,1724596128044261490,QueenofPopMUSlC,https://twitter.com/QueenofPopMUSlC/status/1724596128044261490,
Wed Nov 15 01:00:44 +0000 2023,1724593241704513899,Season 3 Teasers   who do we see 🤔 https://t.co/ZgAfCGV0TF,3,53,8,207,en,1284559507293691904,1724593241704513899,MUTality7,https://twitter.com/MUTality7/status/1724593241704513899,
Tue Nov 14 23:25:00 +0000 2023,1724569146883702850,🚨 We're giving away a 91 OVR @CJ7STROUD in MUT!  -RETWEET and COMMENT #Harvest for a chance to win! We'll DM one winner later tonight. 📨  Broadcast starts at 6:30PM ET: https://t.co/pV2XF0KVsW  👆 https://t.co/zbUlwDrvTh,30,545,543,335,en,1368282328045416449,1724569146883702850,MUTdotGG,https://twitter.com/MUTdotGG/status/1724569146883702850,CJ7STROUD
Tue Nov 14 22:54:17 +0000 2023,1724561416948957413,Tears Don't Fall by Bullet For My Valentine https://t.co/GZwgF7XgLZ,144,13,1014,3806,en,1703868558835400705,1724561416948957413,xXMu3icl0v3rXx,https://twitter.com/xXMu3icl0v3rXx/status/1724561416948957413,
Tue Nov 14 22:18:09 +0000 2023,1724552326596243583,"He’s a LCM, double pivot 6 at a push. Not a lone 6 for me now or I don’t think he has the physical attributes to be a lone 6 in the PL  Not a deal MU need to do, however if your thinking ahead he could be a Bruno replacement down the line pushing Mount up https://t.co/r03x2QbrNz",12,50,57,643,en,1648638342848823298,1724552326596243583,EverydayMUFC22,https://twitter.com/EverydayMUFC22/status/1724552326596243583,
Tue Nov 14 22:14:08 +0000 2023,1724551312694468953,Madonna’s smile 🤍 https://t.co/jABcOKuOk3,2,9,17,224,en,1538678063164186624,1724551312694468953,QueenofPopMUSlC,https://twitter.com/QueenofPopMUSlC/status/1724551312694468953,
Tue Nov 14 21:32:33 +0000 2023,1724540850552664361,@mainmajin Yeah because they take pics under girls skirts in fucking trains bro😭,0,1,1,257,en,1638830531168141313,1724530681726767352,shinobirate,https://twitter.com/shinobirate/status/1724540850552664361,mainmajin
Tue Nov 14 21:15:27 +0000 2023,1724536547066700070,Call Me When You're Sober by  Evanescence ♩ https://t.co/n1esvsjWEL,64,7,656,2462,en,1703868558835400705,1724536547066700070,xXMu3icl0v3rXx,https://twitter.com/xXMu3icl0v3rXx/status/1724536547066700070,
Tue Nov 14 21:15:02 +0000 2023,1724536441047298059,@mainmajin The fact that niggas in japan need a sound and flash everytime they take a pic should show how bad they can get😭,0,4,1,679,en,1638830531168141313,1724530681726767352,shinobirate,https://twitter.com/shinobirate/status/1724536441047298059,mainmajin
Tue Nov 14 21:07:05 +0000 2023,1724534439667995074,@scottmelker “On top of his security” 🙄,0,11,0,378,en,1355219071571292160,1724531535221506361,MariaMu1988,https://twitter.com/MariaMu1988/status/1724534439667995074,scottmelker
Tue Nov 14 20:49:55 +0000 2023,1724530118515658885,Madonna &amp  Little Star ⭐️ https://t.co/4OjlZsusgP,5,0,20,241,en,1538678063164186624,1724530118515658885,QueenofPopMUSlC,https://twitter.com/QueenofPopMUSlC/status/1724530118515658885,
Tue Nov 14 20:29:44 +0000 2023,1724525041956659606,"The battle to stay away from sins has been made more difficult with the advent of smart phones, tablets and other technological devices, social media, and the list goes on. A beautiful piece of advice which will help us in our battle in staying away from sins, a must read: https://t.co/bQDUwVtSsD",0,1,142,256,en,234566197,1724525041956659606,MarkazMuaadh,https://twitter.com/MarkazMuaadh/status/1724525041956659606,
Tue Nov 14 20:23:08 +0000 2023,1724523381133824281,All these stocks hit new 52 week highs at some point today  Microsoft $MSFT Amazon $AMZN Facebook $META Costco $COST Walmart $WMT Broadcom $AVGO Lululemon $LULU DraftKings $DKNG Micron $MU Adobe $ADBE Crowdstrike $CRWD Mercadolibre $MELI ServiceNow $NOW $UBER Akamai $AKAM Arista…,9,22,125,624,en,1250830691824283648,1724523381133824281,StockMKTNewz,https://twitter.com/StockMKTNewz/status/1724523381133824281,
Tue Nov 14 18:30:04 +0000 2023,1724494925620768872,"@PitchSideTweets Him, his dad, and granddad have never seen Newcastle win a trophy 😂 https://t.co/1zynVHYgU3",0,0,9,377,en,1604123003687780352,1724479808157921639,MU9RYK,https://twitter.com/MU9RYK/status/1724494925620768872,PitchSideTweets
Tue Nov 14 18:01:38 +0000 2023,1724487768124887539,"Hayley williams , MV for emergency by paramore 2oo6. ⋆☆ https://t.co/Z5J27dR6v4",35,5,544,3045,en,1703868558835400705,1724487768124887539,xXMu3icl0v3rXx,https://twitter.com/xXMu3icl0v3rXx/status/1724487768124887539,
Tue Nov 14 18:01:34 +0000 2023,1724487753339945389,Madonna &amp  Lola cheering Rocco on while he rides his lil bike 😭😭 https://t.co/rWeb6lEETM,5,6,61,649,en,1538678063164186624,1724487753339945389,QueenofPopMUSlC,https://twitter.com/QueenofPopMUSlC/status/1724487753339945389,
Tue Nov 14 17:13:24 +0000 2023,1724475633776890263,"Casemiro has been a better signing than Harry Maguire and he achieved that playing 6 months of football at a level Maguire hasn’t sniffed in his whole career. This disrespect to this champion is unreal, he single handily plugged gaps in Ten Hag flawed set up and was ran into the…",2,19,28,172,en,1245020837855576066,1724475633776890263,DevildetailsMU,https://twitter.com/DevildetailsMU/status/1724475633776890263,
Tue Nov 14 16:54:20 +0000 2023,1724470832842629419,"Well.... It seems to be that it is not a ghost, but something else :'] #Izukumidoriya #Izuocha #dekuocha #deku #urarakaochako #MHA #MyHeroAcademia https://t.co/WmWwHgo4Hd",3,10,219,1677,en,1536365269852925952,1724470832842629419,MU_1_2,https://twitter.com/MU_1_2/status/1724470832842629419,
Tue Nov 14 16:52:57 +0000 2023,1724470486942281779,@catfinches the tell tale heart to Edgar Allen Poe:,3,1,35,731,en,1506961329327943689,1724468985171779843,5RC00L15MU5,https://twitter.com/5RC00L15MU5/status/1724470486942281779,catfinches
